|H010|2039|UN|5,000|7,928000|39,64|0|||1.1.2.12.001|38,75|
|H010|2040|UN|11,000|7,647273|84,12|0|||1.1.2.12.001|85,25|
|H010|2041|UN|2,000|8,685000|17,37|0|||1.1.2.12.001|15,50|
|H010|2055|UN|1,000|16,550000|16,55|0|||1.1.2.12.001|16,55|
|H010|2056|UN|29,000|1,602069|46,46|0|||1.1.2.12.001|46,52|
|H010|2057|UN|27,000|1,610000|43,47|0|||1.1.2.12.001|43,31|
|H010|2068|UN|10,000|1,478000|14,78|0|||1.1.2.12.001|17,06|
|H010|2069|PC|13,000|4,056154|52,73|0|||1.1.2.12.001|53,03|
|H010|2074|UN|1,000|27,300000|27,30|0|||1.1.2.12.001|27,30|
|H010|2077|UN|3,000|51,146667|153,44|0|||1.1.2.12.001|162,15|
|H010|2088|UN|8,000|2,450000|19,60|0|||1.1.2.12.001|19,60|
|H010|2104|UN|3,000|3,816667|11,45|0|||1.1.2.12.001|11,04|
|H010|2131|UN|2,000|5,505000|11,01|0|||1.1.2.12.001|11,01|
|H010|2132|UN|8,000|3,682500|29,46|0|||1.1.2.12.001|29,46|
|H010|2178|UN|2,000|0,590000|1,18|0|||1.1.2.12.001|1,18|
|H010|2180|UN|12,000|2,676667|32,12|0|||1.1.2.12.001|32,02|
|H010|2184|UN|7,000|3,948571|27,64|0|||1.1.2.12.001|27,57|
|H010|2219|PC|11,000|2,438182|26,82|0|||1.1.2.12.001|26,82|
|H010|2230|UN|6,000|2,713333|16,28|0|||1.1.2.12.001|16,21|
|H010|2231|UN|86,000|2,550000|219,30|0|||1.1.2.12.001|219,30|
|H010|2232|UN|26,000|2,550000|66,30|0|||1.1.2.12.001|66,30|
|H010|2233|UN|23,000|2,550000|58,65|0|||1.1.2.12.001|58,65|
|H010|2275|PC|6,000|2,356667|14,14|0|||1.1.2.12.001|13,03|
|H010|2290|UN|15,000|2,655333|39,83|0|||1.1.2.12.001|39,82|
|H010|2294|UN|7,000|1,615714|11,31|0|||1.1.2.12.001|11,30|
|H010|2296|PC|11,000|2,686364|29,55|0|||1.1.2.12.001|29,55|
|H010|2304|UN|20,000|2,033000|40,66|0|||1.1.2.12.001|40,66|
|H010|2313|UN|12,000|2,704167|32,45|0|||1.1.2.12.001|31,64|
|H010|2314|UN|23,000|2,703913|62,19|0|||1.1.2.12.001|60,33|
|H010|2324|PC|42,000|1,190000|49,98|0|||1.1.2.12.001|49,73|
|H010|2325|PC|35,000|1,190000|41,65|0|||1.1.2.12.001|41,65|
|H010|2331|UN|26,000|2,716154|70,62|0|||1.1.2.12.001|70,62|
|H010|2336|UN|2,000|2,600000|5,20|0|||1.1.2.12.001|5,20|
|H010|2340|PC|118,000|0,613983|72,45|0|||1.1.2.12.001|74,10|
|H010|2341|PC|50,000|0,880000|44,00|0|||1.1.2.12.001|44,00|
|H010|2352|UN|11,000|14,501818|159,52|0|||1.1.2.12.001|163,28|
|H010|2376|UN|3,000|1,336667|4,01|0|||1.1.2.12.001|4,00|
|H010|2377|UN|3,000|1,230000|3,69|0|||1.1.2.12.001|3,75|
|H010|2406|UN|11,000|6,948182|76,43|0|||1.1.2.12.001|76,43|
|H010|2410|UN|56,000|0,481964|26,99|0|||1.1.2.12.001|26,99|
|H010|2411|UN|77,000|5,028052|387,16|0|||1.1.2.12.001|381,23|
|H010|2413|UN|7,000|3,990000|27,93|0|||1.1.2.12.001|27,96|
|H010|2424|UN|165,000|2,228000|367,62|0|||1.1.2.12.001|367,78|
